Category,Subcategory,Product ID,Product Name,Description,Price,Rating,Stock Status,Image URL

# Electronics
Makeup,B007,Eyeshadow Palette,Neutral eyeshadow palette with 12 shades,44.99,4.8,In Stock,https://example.com/images/eyeshadowpalette.jpg
Makeup,B008,Mascara,Volumizing and lengthening mascara,19.99,4.6,In Stock,https://example.com/images/mascara.jpg
Makeup,B009,Lipstick,Creamy matte lipstick in various shades,24.99,4.5,In Stock,https://example.com/images/lipstick.jpg
Makeup,B010,Blush,Powder blush for a natural flush,29.99,4.4,In Stock,https://example.com/images/blush.jpg
Haircare,B011,Shampoo,Sulfate-free shampoo for all hair types,14.99,4.5,In Stock,https://example.com/images/shampoo.jpg
Haircare,B012,Conditioner,Moisturizing conditioner for smooth hair,14.99,4.5,In Stock,https://example.com/images/conditioner.jpg
Haircare,B013,Hair Oil,Nourishing oil for dry and damaged hair,24.99,4.7,In Stock,https://example.com/images/hairoil.jpg
Haircare,B014,Styling Cream,Medium-hold styling cream for natural look,19.99,4.4,In Stock,https://example.com/images/stylingcream.jpg
Haircare,B015,Dry Shampoo,Refreshing dry shampoo for between washes,16.99,4.6,In Stock,https://example.com/images/dryshampoo.jpg
Fragrance,B016,Women's Perfume,Floral eau de parfum with long-lasting scent,79.99,4.8,In Stock,https://example.com/images/womenperfume.jpg
Fragrance,B017,Men's Cologne,Woody and spicy eau de toilette,69.99,4.7,In Stock,https://example.com/images/mencologne.jpg
Fragrance,B018,Unisex Fragrance,Fresh and citrusy unisex perfume,89.99,4.6,In Stock,https://example.com/images/unisexfragrance.jpg
Fragrance,B019,Body Mist,Light and refreshing body mist,19.99,4.4,In Stock,https://example.com/images/bodymist.jpg
Fragrance,B020,Scented Candle,Luxury scented candle with 50-hour burn time,39.99,4.7,In Stock,https://example.com/images/scentedcandle.jpg
